year,tpl,date_tpl,gdd_0,GDD,date_harv,doy_harv,eu,transplant,sex,crop,rep,height_cm,weight_g,weight_0,red_all,test_0,red_p_tpl
2020,20,181,,373,7-Aug,220,452,3,f,fallow,2,89,113.89,75.78199758,75.78199758,75.78199758,
2020,40,201,,636,1-Sep,245,594,5,m,fallow,3,133,113.87,75.78625045,75.78625045,75.78625045,
2019,40,205,,632,29-Aug,241,310,5,m,fallow,4,58,33.28,75.87531714,75.87531714,75.87531714,
2019,40,205,,632,4-Sep,247,278,5,na,fallow,2,55,32.89,76.15802827,76.15802827,76.15802827,
2019,40,205,,632,4-Sep,247,277,5,na,fallow,2,59,32.61,76.36100036,76.36100036,76.36100036,
2019,40,205,,632,4-Sep,247,264,5,na,fallow,1,58,32.49,76.4479884,76.4479884,76.4479884,
2020,10,171,,269,27-Jul,209,417,2,m,fallow,1,97,109.76,76.66021647,76.66021647,76.66021647,
2020,30,191,,517,1-Sep,245,519,4,f,fallow,1,128,108.58,76.91113616,76.91113616,76.91113616,
2020,40,201,,636,1-Sep,245,582,5,f,fallow,2,74,107.83,77.07061901,77.07061901,77.07061901,
2020,10,171,,269,30-Jul,212,435,2,m,wide,4,127,13.89,97.04637761,77.22204001,77.22204001,
2019,40,205,,632,4-Sep,247,261,5,na,fallow,1,45,31.02,77.51359188,77.51359188,77.51359188,
